"bird"	"csv"	"date"	"trial"	"lpath"	"rpath"	"lbucket"	"rbucket"	"optimal_r"	"lFR"	"rFR"	"RT"	"left"	"distance"	"session"	"phase"	"psession"	"optimal"	"ros"
"44W"	"I_Train.csv"	"08/15/15"	63	2	3	8	10	1	1	1	1.361	1	-2	3	"Training 1"	3	"R"	0.555555555555556
"44W"	"I_Train.csv"	"08/15/15"	64	2	3	9	3	-1	1	1	3.263	0	6	3	"Training 1"	3	"L"	0.25
"44W"	"I_Train.csv"	"08/15/15"	65	2	3	7	1	-1	1	1	1.127	0	6	3	"Training 1"	3	"L"	0.125
"44W"	"I_Train.csv"	"08/15/15"	66	2	3	3	6	1	1	1	2.834	0	-3	3	"Training 1"	3	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/15/15"	67	2	3	8	8	0	1	1	1.059	0	0	3	"Training 1"	3	"N"	0.5
"44W"	"I_Train.csv"	"08/15/15"	68	2	3	9	8	-1	1	1	0.494	0	1	3	"Training 1"	3	"L"	0.470588235294118
"44W"	"I_Train.csv"	"08/15/15"	69	2	3	8	4	-1	1	1	1.058	0	4	3	"Training 1"	3	"L"	0.333333333333333
"44W"	"I_Train.csv"	"08/15/15"	70	2	3	2	4	1	1	1	1.665	1	-2	3	"Training 1"	3	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/15/15"	71	2	3	1	2	1	1	1	0.805	1	-1	3	"Training 1"	3	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/15/15"	72	2	3	6	6	0	1	1	1.922	1	0	3	"Training 1"	3	"N"	0.5
"44W"	"I_Train.csv"	"08/15/15"	73	2	3	6	7	1	1	1	0.337	1	-1	3	"Training 1"	3	"R"	0.538461538461538
"44W"	"I_Train.csv"	"08/15/15"	74	2	3	5	6	1	1	1	2.196	0	-1	3	"Training 1"	3	"R"	0.545454545454545
"44W"	"I_Train.csv"	"08/15/15"	75	2	3	6	4	-1	1	1	2.478	1	2	3	"Training 1"	3	"L"	0.4
"44W"	"I_Train.csv"	"08/15/15"	76	2	3	8	6	-1	1	1	1.772	0	2	3	"Training 1"	3	"L"	0.428571428571429
"44W"	"I_Train.csv"	"08/15/15"	77	2	3	9	5	-1	1	1	1.068	0	4	3	"Training 1"	3	"L"	0.357142857142857
"44W"	"I_Train.csv"	"08/15/15"	78	2	3	2	9	1	1	1	0.394	0	-7	3	"Training 1"	3	"R"	0.818181818181818
"44W"	"I_Train.csv"	"08/15/15"	79	2	3	9	9	0	1	1	2.157	0	0	3	"Training 1"	3	"N"	0.5
"44W"	"I_Train.csv"	"08/15/15"	80	2	3	9	1	-1	1	1	0.891	0	8	3	"Training 1"	3	"L"	0.1
"44W"	"I_Train.csv"	"08/15/15"	81	2	3	4	10	1	1	1	1.059	0	-6	3	"Training 1"	3	"R"	0.714285714285714
